id,host_days,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,city,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,reviews_per_month
3075044,1669,within an hour,100%,100%,0,1,1,Roslindale,Boston,Apartment,Private room,2,1,1,1,Real Bed,65,1,1,0,0,2,94,10,9,10,10,9,9,1,moderate,1.3
6976,2792,within a few hours,100%,88%,1,1,1,Roslindale,Boston,Apartment,Private room,2,1,1,1,Real Bed,65,0,0,1,20,3,98,10,9,10,10,9,10,0,moderate,0.47
1436513,1351,within a few hours,100%,50%,0,1,0,Roslindale,Boston,House,Private room,4,1,1,2,Real Bed,75,1,1,2,25,1,100,10,10,10,10,10,10,0,moderate,1
7651065,966,within an hour,100%,100%,1,1,1,Roslindale,Boston,House,Private room,2,1.5,1,2,Real Bed,79,0,1,1,0,2,99,10,10,10,10,9,10,0,flexible,2.25
12386020,284,within a few hours,100%,95%,1,2,1,Roslindale,Boston,Condominium,Private room,2,1,1,1,Real Bed,75,0,1,1,0,2,100,10,10,10,10,9,10,0,flexible,1.7
5706985,1317,within an hour,98%,96%,0,5,1,Roslindale,Boston,Apartment,Entire home/apt,3,1,1,2,Real Bed,100,0,0,1,25,1,90,10,10,10,10,9,9,0,strict,4
2843445,1610,within a few hours,100%,100%,1,2,1,Roslindale,Boston,House,Private room,2,2,1,1,Real Bed,75,0,1,1,15,1,96,10,10,10,10,10,10,0,moderate,2.38
753446,1530,within an hour,100%,100%,1,1,1,Roslindale,Roslindale,Condominium,Private room,2,1,1,2,Real Bed,58,0,0,2,0,2,96,10,10,10,10,9,10,0,moderate,5.36
849408,1475,within an hour,100%,100%,1,2,1,Roslindale,Boston,Apartment,Entire home/apt,5,1,2,2,Real Bed,229,1,1,4,25,4,94,10,9,10,10,9,9,0,strict,1.01
12023024,283,within a day,83%,100%,0,1,0,Roslindale,Boston,House,Private room,2,1,1,1,Real Bed,60,0,1,1,10,1,80,10,8,8,10,10,10,0,flexible,0.36
1668313,1205,within an hour,100%,89%,1,2,1,Roslindale,Boston,House,Private room,1,1,1,1,Real Bed,57,0,1,1,0,1,94,9,10,10,10,9,9,0,flexible,0.48
2684840,1007,within a few hours,100%,100%,0,2,0,Roslindale,Boston,Condominium,Entire home/apt,4,1,2,2,Real Bed,93,0,1,1,0,1,100,10,10,10,10,10,10,1,flexible,0.64
13547301,332,within an hour,100%,97%,0,1,1,Roslindale,Boston,Apartment,Entire home/apt,5,1,2,3,Real Bed,150,0,1,5,30,2,97,10,10,10,10,9,10,0,moderate,4.93
5434353,1162,within a day,75%,100%,0,1,1,Roslindale,Boston,House,Entire home/apt,2,1.5,2,2,Real Bed,145,1,1,2,35,3,91,9,9,10,9,9,9,0,moderate,0.56
225979,1932,within an hour,100%,79%,0,2,0,Roslindale,Boston,Apartment,Private room,1,0,1,1,Real Bed,60,0,0,1,0,1,96,9,10,10,10,9,10,1,strict,1.16
3420384,2125,within a few hours,100%,100%,0,1,0,Roslindale,Boston,House,Private room,4,1,1,3,Real Bed,165,0,1,3,15,3,100,10,10,10,10,10,10,0,flexible,1
13512930,1007,within a few hours,100%,100%,0,2,0,Roslindale,Boston,Condominium,Private room,2,1,1,1,Real Bed,75,0,1,1,15,1,100,10,10,10,10,10,10,1,flexible,0.37
7482195,582,within a day,100%,100%,1,3,1,Roslindale,Boston,House,Private room,1,1,1,1,Real Bed,49,0,0,1,10,5,,,,,,,,0,strict,
7252607,582,within a day,100%,100%,1,3,1,Roslindale,Boston,House,Private room,2,1,1,1,Real Bed,49,0,0,1,10,5,95,9,10,10,10,9,10,0,strict,0.29
